URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://onconova.github.io/fhir/ValueSet/onconova-vs-adjunctive-therapy-roles,0.2.0,active,,AdjunctiveTherapyRoles,Adjunctive Therapy Roles Value Set,"Codes representing roles for adjunctive therapy in oncology.","StructureDefinition/onconova-ext-medication-administration-adjunctive-role","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-adverse-event-mitigation-categories,0.2.0,active,,AdverseEventMitigationCategories,Adverse Event Mitigation Categories Value Set,"Categories of actions taken to mitigate or manage adverse events in oncology.","StructureDefinition/onconova-ext-adverse-event-mitigation","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-adverse-event-mitigation-drugs,0.2.0,active,,AdverseEventMitigationDrugs,Adverse Event Mitigation Drugs Value Set,"Drugs or medication categories used in the mitigation process of an adverse event.","StructureDefinition/onconova-ext-adverse-event-mitigation","SCT,hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-adverse-event-mitigation-managements,0.2.0,active,,AdverseEventMitigationManagements,Adverse Event Mitigation Managements Value Set,"Classification of actions to mitigate adverse events affecting a patient's health.","StructureDefinition/onconova-ext-adverse-event-mitigation","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-adverse-event-mitigation-procedures,0.2.0,active,,AdverseEventMitigationProcedures,Adverse Event Mitigation Procedures Value Set,"Procedures undertaken to mitigate the impact of an adverse event on a patient's health.","StructureDefinition/onconova-ext-adverse-event-mitigation","SCT,hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-adverse-event-mitigation-treatment-adjustments,0.2.0,active,,AdverseEventMitigationTreatmentAdjustments,Adverse Event Mitigation Treatment Adjustments Value Set,"Adjustments made to a patient's treatment plan in response to an adverse event.","StructureDefinition/onconova-ext-adverse-event-mitigation","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-amino-acid-change-types,0.2.0,active,,AminoAcidChangeTypes,Amino Acid Change Type Value Set,"Amino acid change types due to a genomic variant. It constraints and expands the original [LOINC Answer List LL380-7](https://loinc.org/LL380-7/) to enforce Onconova-compatible codes","StructureDefinition/onconova-genomic-variant","LOINC,Other"
http://onconova.github.io/fhir/ValueSet/onconova-vs-antineoplastic-agents,0.2.0,active,,AntineoplasticAgents,Antineoplastic Agents Value Set,"Drugs and biological agents used in the treatment of neoplastic diseases.","StructureDefinition/onconova-medication-administration,StructureDefinition/onconova-ext-molecular-tumor-board-therapeutic-recommendation","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-cancer-imaging-methods,0.2.0,active,,CancerImagingMethods,Cancer Imaging Methods Value Set,"Imaging methods used in cancer diagnosis and monitoring.","StructureDefinition/onconova-imaging-disease-status","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-cancer-risk-assessment-methods,0.2.0,active,,CancerRiskAssessmentMethods,Cancer Risk Assessment Methods Value Set,"A value set containing codes for various cancer risk assessment methods.","StructureDefinition/onconova-cancer-risk-assessment","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-cancer-risk-assessment-values,0.2.0,active,,CancerRiskAssessmentValues,Risk Assessment Values Value Set,"A non-exhaustive value set containing codes that result from risk assessments, i.e., the risk level of the cancer.","StructureDefinition/onconova-cancer-risk-assessment","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-causes-of-death,0.2.0,active,,CausesOfDeath,Cause of Death Value Set,"The causes of death that are relevant for a cancer patient.","StructureDefinition/onconova-ext-cancer-patient-cause-of-death","SCT,hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-clinical-relevances,0.2.0,active,,ClinicalRelevances,Clinical Relevance Value Set,"Categorizations of the clinical relevance of a genomic variant","StructureDefinition/onconova-genomic-variant","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-comorbidity-panels,0.2.0,active,,ComorbidityPanels,Comorbidity Panels Value Set,"A collection of comorbidity panels relevant to cancer patients.","StructureDefinition/onconova-comorbidities","Internal"
http://onconova.github.io/fhir/ValueSet/onconova-vs-consent-status,0.2.0,active,,ConsentStatus,Consent Status Value Set,"The consent status of a patient for further use of data in research.","StructureDefinition/onconova-ext-cancer-patient-consent-status","Internal"
http://onconova.github.io/fhir/ValueSet/onconova-vs-ctc-adverse-events,0.2.0,active,,CTCAdverseEvents,CTC Adverse Events Value Set,"Adverse events classified according to the Common Terminology Criteria for Adverse Events (CTCAE)","StructureDefinition/onconova-adverse-event","THO"
http://onconova.github.io/fhir/ValueSet/onconova-vs-dna-change-types,0.2.0,active,,DNAChangeTypes,Coding DNA Change Types Value Set,"Coding DNA change types due to a genomic variant. It constraints and expands the original [LOINC Answer List LL380-7](https://loinc.org/LL380-7/) to enforce Onconova-compatible codes","StructureDefinition/onconova-genomic-variant","hl7.terminology.r4,Other"
http://onconova.github.io/fhir/ValueSet/onconova-vs-expected-drug-effects,0.2.0,active,,ExpectedDrugEffects,Expected Drug Effects Value Set,"Collection of expected effects when a drug is administered.","StructureDefinition/onconova-ext-molecular-tumor-board-therapeutic-recommendation","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-exposure-agents,0.2.0,active,,ExposureAgents,Exposure Agents Value Set,"Agents to which a patient may have been exposed.","StructureDefinition/onconova-lifestyle","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-homologous-recombination-deficiency-interpretations,0.2.0,active,,HomologousRecombinationDeficiencyInterpretations,Homologous Recombination Deficiency Interpretation Value Set,"The categorical classifications of the HRD status interpreted from its value..","StructureDefinition/onconova-ext-homologous-recombination-deficiency-interpretation","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-icd-10-conditions,0.2.0,active,,ICD10Conditions,ICD-10 Codes Value Set,"All possible ICD-10 codes for conditions.","StructureDefinition/onconova-comorbidities","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-icdo3-differentiations,0.2.0,active,,ICDO3Differentiations,ICD-O-3 Differentiations Value Set,"The subset of ICD-O-3 concepts dedicated for describing morphology differentiations.","StructureDefinition/onconova-ext-histological-differentiation","THO"
http://onconova.github.io/fhir/ValueSet/onconova-vs-icdo3-morphology-behaviors,0.2.0,active,,ICDO3MorphologyBehaviors,ICD-O-3 Morphology Behavior Value Set,"The subset of ICD-O-3 concepts dedicated for describing morphology behavior.","StructureDefinition/onconova-ext-family-history-member-cancer-morphology,StructureDefinition/onconova-primary-cancer-condition,StructureDefinition/onconova-secondary-cancer-condition","THO"
http://onconova.github.io/fhir/ValueSet/onconova-vs-icdo3-topographies,0.2.0,active,,ICDO3Topographies,ICD-O-3 Topographies Value Set,"The subset of ICD-O-3 concepts dedicated for describing morphology topographies.","StructureDefinition/onconova-primary-cancer-condition,StructureDefinition/onconova-secondary-cancer-condition,StructureDefinition/onconova-ext-family-history-member-cancer-topography","THO"
http://onconova.github.io/fhir/ValueSet/onconova-vs-observation-bodysites,0.2.0,active,,ObservationBodySites,Observation Body Sites Value Set,"Bodysites related to an observation","StructureDefinition/onconova-imaging-disease-status","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-recreational-drugs,0.2.0,active,,RecreationalDrugs,Recreational Drugs Value Set,"Substances that people use to alter their mental state, often for pleasure or leisure, with effects ranging from relaxation and euphoria to hallucinations and altered perceptions.","StructureDefinition/onconova-lifestyle","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-recurrence-types,0.2.0,active,,RecurrenceTypes,Recurrence Types Value Set,"A value set representing the types of cancer recurrence, specifically local and regional recurrences.","StructureDefinition/onconova-ext-primary-cancer-recurrence-type","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-smoking-status,0.2.0,active,,SmokingStatus,Smoking status Value Set,"Smoking status of a patient","StructureDefinition/onconova-lifestyle","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-surgical-procedures,0.2.0,active,,SurgicalProcedures,Surgical Procedures Value Set,"Set of surgical procedures relevant to cancer treatment in Onconova.","StructureDefinition/onconova-surgical-procedure","hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-distant-metastasis-categories,0.2.0,active,,TNMDistantMetastasisCategories,TNM Distant Metastasis Categories Value Set,"TNM Distant Metastasis Categories Value Set","StructureDefinition/onconova-tnm-distant-metastases-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-grade-categories,0.2.0,active,,TNMGradeCategories,TNM Grade Categories Value Set,"TNM Grade Categories Value Set","StructureDefinition/onconova-tnm-grade-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-grade-category-methods,0.2.0,active,,TNMGradeCategoryMethods,TNM Grade Category Methods Value Set,"TNM Grade Category Methods Value Set","StructureDefinition/onconova-tnm-grade-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-primary-tumor-categories,0.2.0,active,,TNMPrimaryTumorCategories,TNM Primary Tumor Categories Value Set,"TNM Primary Tumor Categories Value Set","StructureDefinition/onconova-tnm-primary-tumor-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-regional-nodes-categories,0.2.0,active,,TNMRegionalNodesCategories,TNM Regional Nodes Categories Value Set,"TNM Regional Nodes Categories Value Set","StructureDefinition/onconova-tnm-regional-nodes-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-serum-tumor-marker-level-categories,0.2.0,active,,TNMSerumTumorMarkerLevelCategories,TNM Serum Tumor Marker Level Categories Value Set,"TNM Serum Tumor Marker Level Categories Value Set","StructureDefinition/onconova-tnm-serum-tumor-marker-level-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tnm-venous-invasion-categories,0.2.0,active,,TNMVenousInvasionCategories,TNM Venous Invasion Categories Value Set,"TNM Venous Invasion Categories Value Set","StructureDefinition/onconova-tnm-venous-invasion-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-treatment-intents,0.2.0,active,,TreatmentIntents,Treatment Intents Value Set,"A set of intents for giving a treatment to a cancer patient","StructureDefinition/onconova-radiotherapy-summary,StructureDefinition/onconova-surgical-procedure,StructureDefinition/onconova-medication-administration,StructureDefinition/onconova-ext-therapy-line-intent","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-treatment-termination-reasons,0.2.0,active,,TreatmentTerminationReasons,Treatment Termination Reasons Value Set,"Reasons for terminating a treatment in oncology.","StructureDefinition/onconova-radiotherapy-summary,StructureDefinition/onconova-medication-administration","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tumor-board-recommendations,0.2.0,active,,OnconovaTumorBoardRecommendations,Tumor Board Recommendations Value Set,"Recommendations that may be made by a tumor board for a cancer patient.","StructureDefinition/onconova-tumor-board-review","SCT,LOINC"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tumor-marker-analytes,0.2.0,active,,TumorMarkerAnalytes,Tumor Marker Analytes Value Set,"Analytes considered tumor markers.","StructureDefinition/onconova-ext-tumor-marker-analyte","LOINC,hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tumor-marker-tests,0.2.0,active,,TumorMarkerTests,Tumor Marker Tests,"ValueSet containing LOINC and NCI Thesaurus codes for tumor marker laboratory tests and measurements","StructureDefinition/onconova-tumor-marker","LOINC,hl7.terminology.r4"
http://onconova.github.io/fhir/ValueSet/onconova-vs-tumor-mutational-burden-status-interpretations,0.2.0,active,,TumorMutationalBurdenStatusInterpretations,Tumor Mutational Burden Status Interpretation Value Set,"The categorical classifications of the TMB status interpreted from its value..","StructureDefinition/onconova-ext-tumor-mutational-burden-status","THO (V3)"
http://onconova.github.io/fhir/ValueSet/onconova-vs-vital-status,0.2.0,active,,VitalStatus,Vital Status Value Set,"The vital status of a patient","StructureDefinition/onconova-ext-cancer-patient-vital-status","SCT"
